id,amounttot,amounte
Kildare,3178757.79,15140.18618
Dublin,26342686.59,20732.42908
Cork,9680369.06,18683.35442
Wexford,8015290,55173.98278
Sligo,2144975.33,32863.11215
Meath,5040671.66,27389.8935
Limerick,979941.5,5122.377239
Laois,1225287.07,15228.90291
Mayo,1014840.5,7773.458086
Louth,963089.25,7842.235441
Westmeath,1373633.35,15979.72743
Kerry,1797160.28,12390.10727
Galway,4500422.39,17962.81802
Longford,280694.11,7202.825507
Leitrim,448889.05,14125.78041
Roscommon,806754.25,12625.6573
Cavan,3245544.75,44536.38815
Offaly,2505795.21,32624.99297
Monaghan,435398,7197.255972
Donegal,8073463.67,50168.48428
Wicklow,3949292.12,28943.56913
Clare,2235853.47,19128.66039
Tipperary,2029882.69,12794.56099
Waterford,3394199.45,29850.40015
Kilkenny,4951340.47,51922.61399
Carlow,569314.22,10440.00257
Down,85799,0
Unknown,1500,0
Germany,2500,0
Liechtenstein,3250000,0
Armagh,388017.28,0
UK,73596.14,0
Poland,2500,0
Moldova,5000,0